481.94 -125.92 690.77 -83.869 0.35265 0.43773 0.82706 0.92679 -0.28542 -0.24411 0.1292 0.8526 -0.50634
491.94 -125.51 689.28 -83.852 0.3501 0.43869 0.82764 0.9278 -0.28397 -0.24196 0.12888 0.85259 -0.50643
501.94 -125.42 688.25 -83.863 0.35028 0.43964 0.82706 0.92764 -0.28498 -0.24139 0.12957 0.85177 -0.50765
511.94 -125.41 686.67 -83.787 0.35036 0.44064 0.82649 0.92791 -0.28331 -0.24231 0.12738 0.8518 -0.50814
521.93 -125.45 685.71 -83.839 0.35043 0.44171 0.82589 0.92771 -0.28485 -0.24128 0.12868 0.85074 -0.5096
531.93 -125.54 684.44 -83.814 0.34996 0.44321 0.82528 0.92798 -0.28437 -0.2408 0.12796 0.85012 -0.51081
541.93 -125.59 682.93 -83.801 0.34821 0.44495 0.82509 0.92894 -0.28189 -0.24002 0.12579 0.85003 -0.51149
551.93 -126.13 674.61 -83.102 0.37548 0.4394 0.81605 0.92233 -0.26381 -0.28233 0.091223 0.85868 -0.50433
561.93 -125.73 680.38 -83.818 0.34773 0.44815 0.82356 0.9295 -0.27993 -0.24013 0.12293 0.849 -0.5139
571.93 -125.77 679.22 -83.885 0.34822 0.44928 0.82273 0.92927 -0.28085 -0.23995 0.12326 0.8481 -0.5153
581.93 -126.38 671.26 -83.127 0.37916 0.4426 0.81261 0.9208 -0.2673 -0.28404 0.091492 0.85595 -0.5089
591.93 -126.09 677.84 -83.805 0.3542 0.451 0.81924 0.92635 -0.28922 -0.24129 0.12812 0.84436 -0.52023
601.93 -126.11 677.26 -83.829 0.35517 0.45108 0.81877 0.92533 -0.29399 -0.23943 0.13271 0.84267 -0.52182
611.93 -132.48 681.95 -82.792 0.39805 0.45968 0.79388 0.90623 -0.33146 -0.26245 0.1425 0.82391 -0.54851
621.92 -126.2 676.02 -83.898 0.35435 0.4504 0.8195 0.92395 -0.30366 -0.23262 0.14408 0.8396 -0.52375
631.92 -126.17 675.26 -83.793 0.35026 0.45108 0.82088 0.9248 -0.3055 -0.22673 0.1485 0.83857 -0.52416
641.92 -126.79 666.91 -83.213 0.37883 0.44351 0.81227 0.91809 -0.29067 -0.26948 0.11658 0.84783 -0.5173
651.92 -132.48 679.95 -82.605 0.38464 0.46251 0.79884 0.90842 -0.3432 -0.2387 0.16376 0.81749 -0.55216
661.92 -132.63 679.4 -82.499 0.38059 0.46423 0.79978 0.9097 -0.3433 -0.23363 0.16611 0.81648 -0.55297
671.92 -126.12 672.79 -83.643 0.33115 0.45583 0.82617 0.92988 -0.30629 -0.20373 0.16018 0.83571 -0.5253
681.92 -126.21 672.13 -83.6 0.32774 0.45728 0.82673 0.93115 -0.30441 -0.20076 0.15986 0.8356 -0.52556
691.92 -126.28 671.75 -83.619 0.32619 0.4582 0.82683 0.93164 -0.30399 -0.19908 0.16013 0.83525 -0.52604
701.92 -126.4 671.45 -83.641 0.32544 0.45905 0.82666 0.93197 -0.30345 -0.19839 0.15978 0.83498 -0.52657
711.92 -133.8 677.32 -82.181 0.37572 0.47092 0.79816 0.91193 -0.3412 -0.22797 0.16498 0.81352 -0.55764
721.91 -126.45 670.54 -83.632 0.32665 0.45886 0.82629 0.93183 -0.30258 -0.20035 0.15808 0.8354 -0.52641
731.91 -126.53 670.16 -83.605 0.32835 0.45834 0.8259 0.93135 -0.3028 -0.20224 0.15739 0.83561 -0.5263
741.91 -126.61 670.07 -83.61 0.32924 0.45795 0.82576 0.93095 -0.30365 -0.20279 0.15787 0.83551 -0.5263
751.91 -126.54 669.84 -83.592 0.32934 0.45654 0.8265 0.93094 -0.30324 -0.20345 0.15775 0.83643 -0.52488
761.91 -126.56 669.76 -83.592 0.32812 0.45591 0.82734 0.93124 -0.30309 -0.20231 0.15852 0.83683 -0.52401
771.91 -50.364 893.38 -18.374 0.56673 -0.44626 0.69258 -0.47865 -0.86254 -0.16409 0.6706 -0.2385 -0.70243
781.91 -126.64 669.42 -83.573 0.32697 0.45349 0.82912 0.93182 -0.3009 -0.2029 0.15747 0.83893 -0.52095
791.91 -126.76 669.62 -83.593 0.32632 0.45242 0.82996 0.93193 -0.30091 -0.20239 0.15818 0.83951 -0.51982
801.91 -126.83 669.61 -83.555 0.32595 0.45074 0.83102 0.93219 -0.2996 -0.20313 0.15741 0.84088 -0.51783
811.91 -126.92 669.62 -83.58 0.32465 0.44943 0.83223 0.93274 -0.29803 -0.20291 0.15684 0.84213 -0.51596
821.9 -127 669.61 -83.57 0.32356 0.4477 0.83359 0.93319 -0.29665 -0.20289 0.15645 0.84354 -0.51377
831.9 -127.22 669.89 -83.614 0.32358 0.44622 0.83438 0.93306 -0.29692 -0.20306 0.15713 0.84423 -0.51243
841.9 -127.14 669.61 -83.579 0.3201 0.44474 0.83651 0.93457 -0.29297 -0.20186 0.1553 0.84639 -0.50942
851.9 -127.5 669.73 -83.565 0.32138 0.44346 0.8367 0.93424 -0.29277 -0.20367 0.15464 0.84713 -0.50838
861.9 -127.51 669.72 -83.578 0.31754 0.44277 0.83853 0.93551 -0.29072 -0.20076 0.15488 0.8482 -0.50653
871.9 -127.73 665.34 -83.207 0.33491 0.43628 0.83516 0.93271 -0.279
